Unix TimeStamp,Logical Time,Duration,State,Buffer Level,Current Playback Time,Available Playback Time,Average Throughput,Quality Index,Resolution,Bitrate
1585658381,1,634.566,PLAYBACK_PLAYING,3.607,0.428536,4.0355360000000005,674323,9,3840 X 2160,14931538
1585658382,2,634.566,PLAYBACK_PLAYING,2.609,1.426589,4.035589,674323,9,3840 X 2160,14931538
1585658383,3,634.566,PLAYBACK_PLAYING,1.61,2.427031,4.037031,674323,9,3840 X 2160,14931538
1585658384,4,634.566,PLAYBACK_PLAYING,0.61,3.427141,4.037141,674323,9,3840 X 2160,14931538
1585658385,5,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658386,6,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658387,7,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658388,8,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658389,9,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658390,10,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658391,11,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658392,12,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658393,13,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658394,14,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658395,15,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658396,16,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658397,17,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
1585658398,18,634.566,PLAYBACK_WAITING,0.358,3.642265,4.000265,674323,9,3840 X 2160,14931538
