Unix TimeStamp,Logical Time,Duration,Buffer Level,Current Playback Time,Available Playback Time,Quality Index,Resolution,Bitrate
1585651292,1,634.566,3.594,0.503316,4.097316,9,3840 X 2160,14931538
1585651293,2,634.566,2.597,1.505093,4.102093,9,3840 X 2160,14931538
1585651294,3,634.566,1.595,2.506115,4.101115,9,3840 X 2160,14931538
1585651295,4,634.566,0.595,3.506537,4.1015369999999995,9,3840 X 2160,14931538
1585651296,5,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651297,6,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651298,7,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651299,8,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651300,9,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651301,10,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651302,11,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651303,12,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651304,13,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651305,14,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651306,15,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651307,16,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651308,17,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651309,18,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651310,19,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651311,20,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651312,21,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651313,22,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651314,23,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651315,24,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651316,25,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651317,26,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651318,27,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651319,28,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651320,29,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651321,30,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651322,31,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651323,32,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651324,33,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651325,34,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651326,35,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651327,36,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651328,37,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651329,38,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651330,39,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651331,40,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651332,41,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651333,42,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651334,43,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651335,44,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651336,45,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651337,46,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651338,47,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651339,48,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651340,49,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651341,50,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651342,51,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651343,52,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651344,53,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651345,54,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651346,55,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651347,56,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651348,57,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651349,58,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651350,59,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651351,60,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651352,61,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651353,62,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651354,63,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651355,64,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651356,65,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651357,66,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651358,67,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651359,68,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651360,69,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651361,70,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651362,71,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651363,72,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651364,73,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651365,74,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651366,75,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
1585651367,76,634.566,0.342,3.658255,4.000255,9,3840 X 2160,14931538
