Unix TimeStamp,Logical Time,Duration,State,Buffer Level,Current Playback Time,Available Playback Time,Quality Index,Resolution,Bitrate
1585656466,1,,PLAYBACK_WAITING,0,0,0,2,480 X 270,759798
1585656467,2,634.566,PLAYBACK_WAITING,0,0,0,2,480 X 270,759798
1585656468,3,634.566,PLAYBACK_WAITING,0,0,0,2,480 X 270,759798
1585656469,4,634.566,PLAYBACK_PLAYING,3.764,0.424748,4.1887479999999995,1,320 X 180,507246
1585656470,5,634.566,PLAYBACK_PLAYING,2.721,1.424353,4.145353,1,320 X 180,507246
1585656471,6,634.566,PLAYBACK_PLAYING,5.671,2.424235,8.095235,3,640 X 360,1013310
1585656472,7,634.566,PLAYBACK_PLAYING,4.771,3.424585,8.195585,3,640 X 360,1013310
1585656473,8,634.566,PLAYBACK_PLAYING,3.769,4.425878,8.194878,3,640 X 360,1013310
1585656474,9,634.566,PLAYBACK_PLAYING,2.768,5.42689,8.194890000000001,3,640 X 360,1013310
1585656475,10,634.566,PLAYBACK_PLAYING,5.77,6.42487,12.19487,3,640 X 360,1013310
1585656476,11,634.566,PLAYBACK_PLAYING,4.77,7.424369,12.194369,3,640 X 360,1013310
1585656477,12,634.566,PLAYBACK_PLAYING,3.769,8.424454,12.193454000000001,3,640 X 360,1013310
1585656478,13,634.566,PLAYBACK_PLAYING,6.67,9.424118,16.094118,3,640 X 360,1013310
1585656479,14,634.566,PLAYBACK_PLAYING,5.752,10.424191,16.176191,3,640 X 360,1013310
1585656480,15,634.566,PLAYBACK_PLAYING,4.771,11.443292,16.214292,3,640 X 360,1013310
1585656481,16,634.566,PLAYBACK_PLAYING,3.813,12.423968,16.236968,3,640 X 360,1013310
1585656482,17,634.566,PLAYBACK_PLAYING,6.771,13.424114,20.195114,3,640 X 360,1013310
1585656483,18,634.566,PLAYBACK_PLAYING,5.77,14.424364,20.194364,3,640 X 360,1013310
1585656484,19,634.566,PLAYBACK_PLAYING,8.77,15.424817,24.194817,3,640 X 360,1013310
1585656485,20,634.566,PLAYBACK_PLAYING,7.77,16.424672,24.194672,3,640 X 360,1013310
1585656486,21,634.566,PLAYBACK_PLAYING,6.835,17.43132,24.26632,3,640 X 360,1013310
